,artistid,popular
4,1656,3577
31,3947,489
122,1770,158
133,9714,658
152,7974,819
194,14462,214
233,435,16770
279,8361,235
304,74,3486
335,242,17427
403,5878,9023
425,18085,46
484,61,16955
492,879,4784
569,1801,1602
586,341,14356
613,18791,404
627,7622,1006
637,7926,556
644,30313,69
678,21881,65
855,4210,5460
868,24567,163
961,14638,83
977,3805,937
982,1875,6598
1057,19910,263
1179,1433,1821
1269,16934,115
1309,52218,18
1317,7891,260
1355,5267,1257
1385,21842,200
1488,24750,168
1492,4704,2652
1502,38132,27
1579,1340,27112
1593,8697,881
1613,21019,104
1628,51216,4
1630,1667,165
1662,8873,348
1665,6579,1110
1682,4884,12613
1760,91769,4
1791,110,67520
1865,8499,845
1875,2657,2928
1916,11854,295
1928,2735,2932
1977,13405,462
2038,8469,2248
2066,637,2672
2075,6073,2580
2105,21738,163
2131,14416,191
2165,5037,4704
2166,31232,169
2184,6503,478
2227,4206,1340
2229,32782,81
2323,6359,806
2355,4300,2441
2374,20254,23
2506,1156,10103
2608,7346,68
2686,139,20566
2698,10070,1356
2724,3381,361
2727,245,13448
2728,3676,3611
2777,3599,1628
2808,91,945
2846,1812,4093
2873,18949,628
3001,455,3117
3004,52084,149
3009,572,666
3014,975,1453
3094,1276,3376
3100,14245,321
3119,2382,1356
3143,3394,1305
3197,10876,98
3304,17547,228
3333,6127,428
3414,3129,2555
3435,25211,324
3476,4498,92
3657,2464,4551
3705,48276,36
3707,3472,1040
3760,4404,3537
3818,1576,3944
3832,9036,485
3836,2912,567
3842,13336,688
3858,14622,203
3955,49241,62
3960,14079,336
4022,2665,10917
4082,17026,321
4083,11628,301
4160,101,102574
4185,2118,2626
4217,32002,216
4347,1679,907
4366,7158,685
4399,3386,420
4486,183,5499
4513,5297,6946
4592,24133,32
4633,3307,1473
4673,943,6532
4806,8442,328
4825,97094,6
4850,22311,125
4862,4624,6692
4895,428,15855
4919,9,57644
4928,1005,2215
4942,6617,426
4967,11564,595
4972,8227,370
5012,8447,169
5086,19424,361
5128,17212,8
5172,38201,100
5180,5539,1749
5329,8921,697
5356,2087,3695
5375,3046,4804
5376,9670,446
5464,8237,1599
5478,36,11037
5596,1694,8562
5601,2484,3486
5621,2734,152
5656,3556,1342
5667,14919,587
5758,444,1792
5763,107,12377
5786,2756,280
5816,3505,2361
5878,3262,3337
6008,119,14977
6102,1036,15657
6124,5258,276
6362,2397,3555
6439,8356,605
6442,3866,4220
6496,2675,4709
6631,2805,2120
6665,37467,86
6677,3579,1280
6807,1308,4019
6838,252,8743
6859,13828,100
6892,2436,850
6897,5938,1173
6957,178,7501
6980,44416,14
6994,5199,440
7033,2296,717
7062,15,41133
7100,3158,9434
7136,1975,1109
7255,6969,464
7259,1559,2879
7276,13945,207
7294,230,1054
7304,2561,3951
7313,1852,3704
7325,631,15953
7345,1943,4060
7460,4977,554
7509,5761,476
7588,10696,1963
7610,2336,9829
7628,3126,3402
7632,872,8958
7634,5172,4190
7679,3615,2234
7706,6214,2077
7739,6928,606
7741,23875,22
7797,6062,1521
7886,5552,1162
7913,41293,19
7919,12881,135
7938,23845,71
7957,3426,2478
8000,2917,6768
8040,13625,172
8080,1101,30477
8099,4523,528
8103,36833,19
8193,86227,4
8213,127261,3
8250,78,11851
8296,16044,67
8317,28641,79
8333,911,3959
8409,26092,149
8433,7487,23
8436,45,41174
8447,1962,2703
8517,17037,719
8662,6211,3770
8714,1324,5992
8941,2808,6752
8946,58,16505
8949,1977,2524
8966,1080,5084
9005,6593,630
9055,10052,197
9056,328,2730
9083,368,35912
9104,3749,2345
9180,7342,78
9214,152,2317
9230,14458,342
9264,6521,826
9299,10462,133
9345,29898,138
9364,26608,38
9366,4557,806
9373,4126,60
9420,1631,13076
9425,6227,325
9518,10650,82
9570,4660,1379
9611,80723,34
9618,4409,680
9691,2764,2058
9716,8967,528
9749,2576,1056
9775,1955,6683
9796,12062,127
9822,8328,469
9852,2585,1306
9962,3506,951
9975,3217,783
10010,639,28915
10045,5665,1263
10057,168588,2
10116,5436,30
10125,819,1889
10127,4632,679
10302,16100,551
10324,7217,129
10358,134,12115
10401,2409,6375
10569,7000,400
10571,15904,504
10609,18193,139
10610,267,3183
10624,424,1789
10631,9479,1027
10682,6892,1234
10745,1740,4543
10792,10689,540
10793,10997,218
10809,28156,38
10818,2786,3251
10828,75309,22
10831,661,3153
10857,1085,24476
10886,2830,10421
10915,13201,41
10971,907,5235
11019,3414,9129
11028,7149,859
11046,6997,1825
11051,554,283
11092,3521,625
11183,17438,322
11191,17707,251
11206,9644,50
11215,1870,15131
11216,5720,2739
11229,380,6312
11250,1682,332
11391,313,11801
11395,7453,98
11416,176,5555
11426,146,3104
11465,290,25670
11483,12476,74
11496,35222,60
11566,4958,1626
11716,4139,328
11882,11384,495
11942,906,9888
12073,3956,123
12170,2722,4092
12216,5155,102
12244,873,1597
12267,2361,280
12289,18109,64
12314,2230,8935
12358,21670,51
12421,12927,559
12443,11603,384
12453,21293,335
12478,43003,162
12510,8260,118
12666,112,10967
12753,5631,292
12780,2219,4495
12815,2548,2318
12823,4693,1311
12856,14302,639
12881,1717,4275
12916,66594,14
12920,9098,319
13087,7312,693
13120,5038,485
13168,19505,342
13178,333,6426
13191,14756,424
13194,6576,1039
13211,2812,2263
13251,1806,8272
13350,26640,112
13423,5947,1733
13439,9002,574
13550,39398,67
13579,1889,2042
13582,10190,125
13599,16377,701
13605,1908,1070
13609,6337,643
13659,3360,76
13679,18133,60
13794,8788,88
13832,26469,180
13875,2707,3156
13882,30248,72
13959,195,7697
13987,4587,374
13995,21203,98
13996,11392,441
14021,16826,433
14025,5310,210
14045,23433,72
14067,28348,77
14087,32972,82
14199,532,267
14236,211,2624
14246,13317,67
14272,15868,351
14340,3504,5639
14358,1827,3791
14365,37880,42
14366,2303,1907
14413,970,297
14414,3374,72
14433,841,1547
14446,10984,565
14447,2887,1679
14521,1341,5201
14522,2329,643
14528,2521,4618
14580,3173,412
14617,27565,86
14718,14595,334
14829,3236,3280
14841,7801,48
14854,7042,1196
14869,8365,2658
14953,5308,1163
14981,23813,49
15013,2507,173
15106,20862,583
15122,21,3445
15229,12267,452
15275,28583,26
15310,44964,27
15327,19893,71
15342,29398,95
15347,1824,3577
15371,1403,2612
15407,3106,3315
15423,4651,3372
15488,6106,304
15553,71250,22
15555,16438,586
15584,8197,260
15595,12380,154
15608,61247,17
15616,25825,29
15650,20734,44
15665,21510,206
15667,1443,9989
15731,113,37262
15756,7079,354
15781,635,30178
15836,5516,2183
15837,1902,14477
15841,875,3094
15899,4157,125
15917,1535,3680
15972,39600,13
16015,15389,366
16016,4345,294
16018,1701,13153
16068,4137,338
16078,2213,1438
16095,5349,1059
16124,8232,1250
16125,2498,5200
16148,3735,780
16271,4833,487
16353,950,2926
16405,8248,146
16467,312,28833
16469,136,18754
16475,10015,398
16481,2838,1016
16514,7259,177
16516,4514,5119
16577,26366,125
16638,30043,93
16681,20036,372
16691,20251,81
16719,2693,2351
16875,2238,2588
16877,43607,27
16890,4185,173
17075,16140,285
17116,5898,715
17154,14677,50
17290,21035,81
17370,3598,123
17375,1988,904
17513,14392,384
17540,16992,937
17548,9869,128
17621,2495,1309
17733,2138,8790
17738,17550,414
17740,3228,8639
17760,4700,2945
17849,23383,125
17861,14735,1194
17866,1173,2755
17923,26123,78
17951,13580,109
17967,5955,34
18074,646,50574
18081,1211,2923
18094,16493,242
18105,3114,1052
18136,528,186
18167,4440,406
18181,18638,1807
18197,8744,323
18210,3409,6005
18288,408,6207
18321,6919,819
18382,17691,139
18448,1031,6850
18488,1907,4615
18837,12959,822
18909,1238,6153
18936,11452,68
18943,8724,1059
18964,14127,429
18992,1452,8017
19082,1248,3523
19087,23615,107
19100,18580,503
19125,22848,234
19222,18324,1100
19232,2255,8415
19235,11387,295
19313,22675,16
19341,4337,351
19390,5616,693
19402,1275,15641
19408,5886,1543
19447,9144,326
19450,351,1256
19470,330,8231
19507,23258,285
19554,9852,615
19609,8405,192
19617,29312,61
19639,74103,8
19665,4602,278
19774,254,14818
19864,2334,4341
19882,648,6780
20078,257,41931
20087,7664,552
20165,1331,16217
20265,1797,10357
20302,3466,15246
20315,433,1763
20320,7320,1321
20381,1823,10986
20398,22390,364
20409,98960,8
20415,1037,4810
20574,1068,592
20671,4212,757
20696,2574,1332
20711,2725,1141
20720,618,6834
20731,8876,2384
20802,12507,209
20840,40372,82
20893,15425,530
20904,5288,1175
21008,3724,4665
21048,14157,108
21104,1109,3634
21124,33871,179
21145,2565,1305
21229,459,976
21259,10114,291
21267,168,651
21306,851,9892
21385,18645,84
21400,4606,336
21402,16524,306
21409,11687,326
21418,398,1951
21533,13398,236
21560,29678,14
21561,32814,368
21658,24935,126
21685,3987,815
21873,594,3365
21920,5294,778
22084,6604,790
22085,1575,17726
22087,21693,123
22098,7651,1517
22123,4287,468
22156,319,3068
22212,8693,6326
22244,27671,56
22335,5302,111
22347,367,5517
22379,12610,481
22442,13616,61
22650,5686,529
22676,3895,3379
22677,3726,5359
22732,15084,245
22821,37512,78
22857,2192,6337
22933,954,7094
22956,2606,91
22971,296,10330
23018,3087,2786
23071,16827,577
23186,9537,548
23296,2794,4827
23420,2631,490
23421,1423,6943
23456,11953,27
23504,16706,341
23569,3928,567
23592,3943,179
23613,25791,239
23637,11508,664
23643,3196,682
23657,573,492
23774,7004,4328
23798,2451,1177
23804,774,6035
23857,10496,136
23869,6857,4965
23914,1015,18542
23925,16153,651
23938,3710,2588
23942,147,11705
23967,13258,66
24014,15509,101
24129,6719,498
24140,4902,1011
24200,11258,1018
24224,31886,68
24249,5360,3617
24259,4541,27
24426,10345,516
24451,13643,566
24456,1306,3838
24458,1334,1004
24467,10710,538
24580,166,2419
24616,4642,287
24657,22505,128
24689,2608,1142
24736,340,9373
24785,6374,1721
24813,456,461
24826,944,23731
24899,1378,5436
24920,21185,200
24947,13844,266
25050,377,8419
25101,5843,1533
25164,630,3132
25178,12014,607
25296,10804,1027
25321,353,14625
25357,616,4333
25384,5179,4509
25386,2563,2784
25397,1498,7076
25451,3565,468
25457,3990,1148
25546,373,2242
25561,4010,123
25595,5135,2634
25620,5950,724
25647,4616,746
25679,34201,84
25705,5096,2961
25844,13088,188
25850,3890,3370
25875,18054,702
25889,1213,2709
25956,1814,2054
25961,12492,79
25982,1187,246
26180,6988,1561
26183,302,11778
26196,5317,878
26223,1030,9653
26226,365,5459
26434,4036,1479
26450,2166,1628
26552,10325,22
26577,11176,760
26648,18669,209
26658,305,9440
26808,5043,195
26844,3249,3511
26848,1261,24554
26881,4529,1280
26890,329,3519
26921,6302,709
26972,10824,1685
26981,4163,2917
26984,4699,1178
27002,399,1440
27067,8913,306
27099,8786,122
27138,25364,60
27141,12359,1643
27148,3878,6866
27178,3045,2761
27204,10860,477
27254,4401,781
27331,1377,1707
27375,29848,31
27420,155,14568
27444,5482,1888
27469,5295,1095
27530,622,9722
27591,2395,970
27636,2523,12873
27759,21260,126
27790,4159,57
27821,1419,1102
27832,3806,4732
28002,5644,1057
28003,13047,336
28029,4120,1085
28031,11374,417
28078,18737,1137
28144,3671,1714
28162,8776,2730
28169,42757,40
28215,11646,865
28243,265,4961
28247,50593,33
28278,1713,17306
28494,7871,239
28524,7476,1738
28639,33898,117
28712,26499,54
28767,126,8687
28886,823,40
28891,1366,7101
28900,2475,5013
28956,32218,40
28981,1330,4348
28983,19918,323
29009,1343,16593
29024,7890,1258
29110,13531,132
29167,6056,461
29195,11347,20
29266,15848,1545
29296,22468,355
29305,953,901
29396,9194,479
29496,28746,32
29505,3240,1845
29514,41924,29
29584,5416,391
29691,3744,3321
29702,14399,112
29770,1387,4782
29804,22586,34
29917,7278,2630
29953,1894,4280
29983,13,5019
29995,54179,3
30002,729,20065
30014,1296,1906
30064,8379,1846
30070,5900,155
30077,7708,286
30168,20994,106
30188,14291,58
30247,776,2741
30257,1639,7345
30288,20192,218
30386,2423,129
30400,11528,920
30466,3247,2184
30476,4080,376
30501,4074,3508
30506,1693,1693
30552,8158,687
30626,2029,3640
30714,43304,38
30738,220,385
30799,16631,222
30870,57734,2
30875,4495,201
30891,3675,1576
30908,3807,3709
30923,5057,371
30955,8362,566
31024,11029,444
31054,1925,2234
31113,231,2870
31115,4402,2028
31123,13110,150
31131,23008,104
31190,15855,159
31261,18142,114
31264,6583,2779
31279,5523,2254
31281,129004,5
31337,5638,1746
31359,11313,52
31419,1842,6194
31443,21149,289
31545,3998,5351
31561,21581,1541
31564,16821,88
31586,3541,4085
31609,3960,253
31673,137,17680
31700,2782,12501
31718,2713,1813
31776,23322,84
32063,5307,1884
32080,3838,888
32107,993,2761
32240,6644,28
32338,4597,627
32393,7716,508
32470,4521,1743
32522,3443,1532
32542,13137,23
32551,3894,409
32612,5450,158
32635,191,3667
32674,7011,734
32933,15286,58
32935,31776,36
32936,5331,2183
32943,802,3599
32945,3283,273
32960,12237,557
32969,11363,1015
32983,3128,3839
32990,6511,676
32995,21956,228
33030,51792,4
33053,13486,312
33060,467,163
33069,4542,943
33093,18538,43
33096,295,10780
33191,652,33013
33271,2531,3282
33286,1160,11802
33310,7868,426
33316,6178,1293
33332,1424,8640
33344,5362,2141
33382,9759,1044
33403,3497,1420
33472,5432,2377
33489,2832,1856
33507,6780,2915
33559,4459,760
33562,13478,439
33617,16194,115
33619,1355,2453
33679,3437,1417
33696,19257,63
33701,6533,348
33879,8174,318
33971,8649,31
34026,4429,514
34069,310,11418
34167,4279,320
34207,1830,7961
34240,651,8328
34280,3256,5313
34292,1084,9879
34331,8835,243
34387,2600,458
34477,16735,255
34481,2487,2456
34506,1632,4686
34545,4892,3272
34628,48203,26
34650,47,4237
34749,1893,3480
34753,1847,6977
34799,50350,42
35001,18751,109
35022,10823,353
35063,5052,216
35087,24781,48
35098,1858,4778
35117,13257,103
35172,61727,30
35173,14545,129
35214,5670,1297
35238,1093,317
35255,12293,261
35281,18829,165
35298,1695,888
35310,11942,167
35349,148,10961
35407,72889,26
35413,6258,146
35414,19085,168
35504,10909,613
35555,20229,145
35618,4,10552
35631,1840,2321
35641,33366,117
35723,4502,1538
35741,36043,29
35759,5203,1651
35838,5902,1458
35870,4383,1976
35886,4331,643
35896,5009,1473
35938,48,20770
35944,477,5521
36032,36956,18
36051,4849,2514
36077,8183,201
36136,15303,155
36191,13118,155
36279,2918,1616
36305,1896,1368
36408,18424,1395
36480,17994,58
36679,16618,339
36689,2793,6097
36752,3636,1333
36768,2557,2035
36804,18993,456
36858,4907,3204
36864,2030,2703
37055,15677,733
37082,1855,10857
37106,56,19978
37108,22719,201
37129,2028,14774
37149,25439,31
37340,52665,4
37366,28568,84
37384,42667,54
37415,21296,98
37551,40302,44
37568,10293,749
37674,8058,109
37682,16560,575
37714,1837,2000
37772,12602,339
37847,1652,547
37859,51540,151
37959,6147,60
38010,21053,234
38011,666,3556
38016,12470,321
38029,1530,1788
38033,36949,62
38037,13575,182
38082,17799,75
38128,4318,1674
38136,9052,502
38177,11235,1108
38209,46343,20
38220,208,14241
38228,11633,321
38229,1408,14372
38254,44880,32
38302,12100,1205
38376,3164,1919
38422,93200,6
38464,3862,1325
38497,2240,517
38511,22273,33
38523,2039,1299
38535,2771,1793
38723,5470,602
38733,1673,1513
38758,96860,2
38798,7059,71
38821,11861,258
38972,4476,3592
39175,13067,583
39193,38238,42
39219,1737,1030
39224,5550,1010
39265,3389,2590
39270,13959,869
39398,683,16704
39426,6349,675
39499,12034,489
39510,2590,571
39520,13512,1234
39675,1412,5315
39677,11966,368
39684,977,1890
39754,1475,22541
39764,27178,236
39776,2176,849
39795,315,2842
39809,89913,2
39832,4123,819
39866,11356,157
39958,3380,802
39962,429,7889
40140,1391,4765
40162,4029,656
40191,634,9616
40239,24728,12
40307,1227,5767
40352,32702,71
40356,300,32905
40508,17347,201
40588,949,37138
40632,1047,512
40641,2135,3719
40656,24290,113
40743,18127,155
40818,4065,439
40825,42965,153
40833,1416,780
40883,3124,2483
40895,4477,2261
41004,6590,271
41083,9384,68
41106,14419,170
41167,1854,5151
41203,1250,3696
41225,17165,243
41269,4082,2850
41321,1219,18207
41336,7483,440
41368,9981,1242
41453,109849,1
41474,3781,823
41523,4313,2441
41528,1868,11785
41576,46529,9
41706,11106,60
41785,1662,4033
41817,5318,757
41891,4167,4811
41908,490,3860
41979,775,4834
42018,272,8967
42071,16000,81
42097,2145,2149
42194,2515,1240
42204,1050,6047
42264,10507,263
42320,8908,1091
42355,4846,1076
42434,2160,2483
42451,8924,404
42459,11760,210
42483,3898,3048
42485,3717,1059
42507,2872,4902
42543,1139,2204
42559,1158,3865
42655,15724,153
42675,1230,2726
42715,82,1933
42728,4438,740
42734,9157,711
42749,34270,93
42782,1883,1902
42810,18731,244
42842,1385,10258
42946,5869,52
42995,17564,283
43066,275,6454
43080,4861,797
43154,10971,515
43158,375,2216
43162,1553,4935
43172,6029,47
43239,1369,12292
43249,3800,2342
43266,10273,886
43281,2103,6932
43326,120310,1
43354,2482,5010
43370,947,4015
43371,463,1259
43448,31787,209
43515,2668,212
43558,12550,409
43566,16442,319
43579,5167,282
43589,1097,1900
43684,1354,18005
43709,11561,467
43731,32839,144
43796,2965,906
43811,1267,4467
43902,2903,1553
43907,8922,188
44080,69,2463
44135,3213,679
44155,36862,43
44217,12562,243
44230,24974,157
44235,425,1927
44263,946,7502
44323,18601,356
44346,2217,3335
44379,29074,225
44446,10101,728
44587,500,43043
44644,52,9385
44652,4582,770
44662,60,37413
44727,782,26067
44816,22187,453
44892,3762,2189
44908,15404,148
44957,15076,37
45172,1161,6338
45192,5176,913
45287,3174,3017
45393,1467,5016
45426,24115,104
45433,4301,884
45459,0,251773
45678,6176,2722
45717,2821,405
45871,29436,93
45873,2224,2488
45984,140292,1
45990,2016,499
46098,3817,721
46113,13205,51
46127,21090,76
46152,94845,14
46160,1940,1158
46198,13637,87
46239,4551,2767
46260,1155,7037
46374,12051,552
46427,6506,907
46454,17156,195
46472,1118,14271
46507,84012,13
46512,7675,236
46549,7695,1239
46553,38248,64
46584,16967,354
46705,19242,36
46732,22841,240
46743,5323,140
46781,34410,7
46829,3698,613
46863,6059,1521
47004,10754,1591
47026,9044,333
47077,162,21420
47125,2019,31283
47504,4233,101
47517,12170,48
47539,723,4425
47547,2018,1958
47572,7692,251
47671,38675,209
47692,14189,502
47743,1641,3883
47752,16495,98
47762,276,5374
47769,6102,218
47810,15831,1038
47851,1116,22186
47916,4232,118
47964,810,342
47989,8448,1875
48038,3422,3786
48052,20019,202
48061,79,10882
48075,2306,572
48087,21406,162
48145,100,15980
48176,411,4075
48182,21283,437
48271,3462,4571
48323,16965,386
48355,2214,4235
48381,7516,691
48458,9182,1409
48508,140918,2
48519,1610,2639
48531,2930,2050
48545,39171,86
48565,6377,1031
48624,3402,6387
48627,25768,17
48655,8319,283
48720,8131,167
48734,5031,1648
48812,20170,189
48915,1767,6085
48931,6448,406
48960,4315,1104
49017,5184,118
49076,4028,791
49092,12094,1046
49241,2282,4611
49250,1574,2979
49276,22792,20
49330,2323,3754
49336,20970,195
49393,5884,1159
49430,325,24159
49432,2020,2764
49496,2916,12337
49513,3162,5121
49522,1657,30073
49568,4428,116
49604,9481,698
49625,40841,24
49669,154584,3
49677,3019,579
49804,7765,1063
49914,8494,697
49937,309,11638
50010,278,3044
50035,5212,884
50039,1934,3385
50067,4003,1507
50095,318,19375
50140,3723,139
50163,13559,216
50225,27097,70
50277,12341,170
50279,2709,1261
50302,941,42155
50309,18362,200
50389,1785,3646
50409,95,48849
50487,27574,39
50544,5073,467
50563,5712,3469
50573,3252,154
50746,2645,204
50774,1201,12972
50786,21031,85
50862,109,82037
50907,5905,658
50955,13845,610
50982,1533,8927
51043,298,22720
51169,1373,5564
51207,2253,11942
51219,25227,129
51341,3423,4976
51346,747,5062
51360,6933,1165
51457,10705,209
51515,291,10662
51536,17716,229
51652,19319,149
51669,1459,16978
51673,5543,132
51700,47213,9
51733,2180,751
51789,7228,251
51854,12018,1305
51980,9154,1710
52043,5118,507
52079,2797,2087
52113,7055,787
52189,685,15780
52248,30260,83
52253,417,13484
52260,2172,915
52369,2935,523
52462,5595,170
52481,236,28242
52536,24820,142
52584,2456,813
52649,5685,1195
52720,2468,2947
52732,3041,3510
52831,784,6132
52842,1905,8642
52886,8531,1483
52933,1179,12272
52941,13174,930
52968,10709,451
53063,1270,1025
53072,21292,74
53178,16761,208
53187,10406,107
53201,7502,270
53285,3122,1226
53378,9016,633
53449,8691,824
53494,2811,4053
53518,33966,99
53555,728,5799
53595,16230,72
53601,1521,753
53711,1779,11878
53724,90374,15
53768,1247,3619
53793,16731,364
53797,3477,1083
53803,120,38260
53839,9490,511
53873,489,3949
53894,4771,442
53911,7997,931
53955,40737,63
54071,2837,829
54176,23188,78
54323,4244,634
54365,14604,755
54374,23159,211
54422,9556,194
54444,20524,67
54497,10604,1743
54517,2781,11401
54526,7718,98
54590,1220,21717
54722,11673,78
54724,20169,167
54729,2381,1052
54761,2096,3540
54769,2921,4316
54788,2860,1485
54812,332,4368
54876,4507,4098
54888,306,3794
54897,2569,3633
54910,19393,94
54947,695,2313
54949,35776,98
55020,14785,209
55047,10191,1499
55123,3237,2720
55128,25304,72
55319,3629,5037
55351,1573,1366
55401,4321,720
55402,1436,4005
55447,19565,74
55510,488,686
55570,5727,602
55642,4142,1305
55765,6515,356
55779,1613,5926
55817,5245,724
55836,2710,687
55853,1884,8264
55859,3559,1841
55891,1792,6409
55952,4513,843
55969,23229,132
55993,11021,146
56122,5713,1867
56157,10285,39
56168,5006,819
56204,74247,17
56218,32462,74
56266,7375,1545
56272,3294,988
56301,1616,9977
56340,1372,8263
56394,2485,1722
56396,8144,1570
56402,39909,44
56406,17774,100
56461,35479,231
56544,4709,918
56552,79056,2
56556,9705,403
56568,14058,228
56602,1664,6862
56665,9273,465
56670,9404,155
56725,2717,410
56734,2792,5127
56805,28930,171
56844,26622,46
56851,10675,158
56864,6502,1642
56913,131,22909
56963,2960,1383
56988,1839,2572
56999,3946,1351
57008,4348,1244
57012,3191,3486
57056,48232,27
57087,2598,312
57136,1861,2709
57167,11385,381
57189,3511,1607
57334,1406,2631
57338,2193,473
57396,6328,1918
57460,47988,42
57480,1711,4806
57706,1984,1206
57841,3478,3812
57884,13922,159
58003,6186,605
58100,9473,758
58115,10857,801
58165,2840,1471
58187,39867,32
58203,522,41894
58213,1291,2088
58242,4403,1741
58312,14,22689
58402,15157,460
58417,781,6416
58526,620,23042
58589,169444,7
58622,55754,15
58632,1003,24912
58643,4515,5713
58659,28094,40
58668,8457,658
58750,51113,5
58798,13286,216
58799,3349,977
58810,161,12000
58822,18821,242
58834,15392,167
58892,4484,701
58894,283,2523
58895,94,2765
58910,11288,358
58916,2878,2060
58922,11332,313
58975,657,39339
58979,34061,178
58980,8100,2757
59054,14953,134
59091,6762,300
59430,3359,6060
59486,23270,585
59517,20535,88
59575,2522,6524
59581,8668,1027
59596,13523,55
59605,2728,116
59630,5536,1195
59646,9053,1274
59675,31898,40
59714,14654,356
59755,44133,35
59793,1669,1205
59835,1880,2051
60124,19940,96
60126,3545,848
60172,3978,302
60182,6175,3451
60292,18385,129
60428,3469,3066
60451,40664,60
60467,1414,5124
60470,10104,230
60513,4437,309
60549,19399,84
60726,10032,150
60759,3089,368
60794,2221,6823
60855,3619,26
60868,1194,39173
60895,1347,4504
60983,13609,349
60999,4326,2964
61094,62601,20
61146,35590,109
61211,13475,848
61241,1466,21297
61298,26562,56
61322,756,2683
61338,2875,5591
61340,6447,2974
61366,9419,179
61405,327,6234
61417,4407,566
61443,17263,527
61529,38259,5
61551,9974,215
61554,3600,867
61683,935,2447
61711,1417,13377
61750,10755,522
61773,22208,253
61815,108,11845
61858,2211,3195
61883,1177,5024
61954,8374,98
61957,2259,504
61972,13462,350
61976,1471,7205
62036,13562,108
62074,3681,509
62178,26987,416
62198,7001,269
62223,3964,725
62279,9142,2166
62280,9776,156
62342,5497,2316
62345,2882,1362
62419,3215,1570
62446,18263,45
62459,7732,549
62547,1674,5486
62568,2947,169
62700,4900,1218
62714,5605,524
62795,7473,234
62977,1683,1828
63004,3399,3507
63070,1274,21115
